,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
469,"0-12
0- 12","Ap
Ap",2244..00,3300..33,445 5.7.7,cc,-~,"6.7
6.7","0.89
0.89","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
470,"12-30
12 - 30","A2
A2","28.0
28.0",117 7..66,5544..44,cc,-~,"12
7.2","0.72
0.72","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
471,3300 -— 5599,"BSS1
BSSI","24.3
24.3","20.7
20.7",5555..00,cc,--,88..00,"0.60
0.60","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
472,"59-91
59 - 91","Bss2
Bss2",222 2..55,1177..88,"59.7
59.7",cc,"-
-",88..00,"0.52
0.52","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
473,"91-120
91 - 120","Bss3
Bss3","19.5
19.5",1166..77,6 63 3.8.8,cc,"-
-",88..22,"0.37
0.37","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
474,"120—145
120 - 145","BBS-SS S4
4",1166..55,44..66,"78.9
78.9",cc,--,88..33,"0.31
0.31","19°54'45"" Nand 83°5' 15"" E ",189,19.9125,83.0875,Orissa
475,"0-20
0- 20","Ap
Ap","22.0
22.0",3322..33,"45.7
45.7",cc,22,66..77,"0.42
0.42","23° 53'30"" N and 83°30'0"" E ",191,23.89166667,83.5,Orissa
476,220 0- -5 53 3 |,"BBs ssl
s l",1199..66,"29.9
29.9","50.5
50.5",cc,22,"6.9
6.9","0.35
0.35","23° 53'30"" N and 83°30'0"" E ",191,23.89166667,83.5,Orissa
477,"53-87 |
53 - 87","BBs ss s2
2","18.8
18.8","31.9
3l.9","49.3
49.3",cc,33,"7.2
7.2","0.26
0.26","23° 53'30"" N and 83°30'0"" E ",191,23.89166667,83.5,Orissa
478,"87-124
87 - 124 |","BBs ss s3
3","25.2
25.2","28.2
28.2","46.6
46.6",cc,55,"75
7.5","0.24
0.24","23° 53'30"" N and 83°30'0"" E ",191,23.89166667,83.5,Orissa
