,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
57,335 5— -7 72 2,"Bw2
Bw2",6677..66,1111..11,"21.3
21.3",sscclI,1166,55..33,"0.06
0.06",19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
58,772 2 -— 110 06 6,"BC
BC","72.4
72.4",99..99,1177..77,ssll,"73
73","55
5.5","0.06
0.06",19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
59,"106+
106+","Cr
Cr","weathered gravels
weathered gravels",,,,,,,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
60,"Depth |
Depth
(cm)
(em)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm);|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
f fr ra ag g. . §
vol. |
vol.
((%%) )","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,39,19.89722222,84.84166667,Orissa
61,"0-9
0 - 9","A
A",7700..00,1133..77,"16.3
16.3",ssll,--,55..66,"0.09
0.09",,39,19.89722222,84.84166667,Orissa
62,"9-20
9-20","Btl
Btl",4400..88,"38.9
38.9","20.3
20.3",I],"10
10","5.8
5.8","0.09
0.09",,39,19.89722222,84.84166667,Orissa
63,220 0-— 4433,"Bt2
Bt2",4488..22,2211..11,"30.7
30.7",ccll,"14
14",66..11,"0.07
0.07",,39,19.89722222,84.84166667,Orissa
64,4 433 - -7 0 70 |,"BBt t3
3",4466..33,"1199,.22","34,5
34.5",ccll,"23
23",66..11,"0.06
0.06",,39,19.89722222,84.84166667,Orissa
65,7700 —- 9933,"BC
BC","58.4
58.4","14.2
14.2","27.4
27.4",ssccl i,"66
66","6.3
6.3","0.06
0.06",,39,19.89722222,84.84166667,Orissa
66,"93+
93+","Cr
Cr","weathered gravels
weathered gravels",,,,,,,,39,19.89722222,84.84166667,Orissa
67,"DDe ep pth th |
(cm)
(cm)","Hori-
Horl-
zzo on n |","Sand
Sand
(( 22. .00- .0 0. .0 05
5
mm)
mm)
((%2) )","SSiilltt
((00..0055- -
0.002mm)
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )",TTe ex xt tu ure re |,"CCo oar as re s|
e
ffrraagg. . |
vvool.l .
((%“) )","pH
pH |
11::22..55 |
water
water","EC
EC
11::22..55
| wwa ate ter r
(dS/m)
(dS/m)",,41,19.18638889,82.79611111,Orissa
68,"0-6
0 - 6","A
A","68.4
68.4",1144..44,117 7..22,ssll,--,66..44,"00..0 07
7",,41,19.18638889,82.79611111,Orissa
69,"6-31
6 - 31","Btl
Btl","56.6
56.6","21.8
21.8","21.6
21.6",sscclI,1177,66..77,"0.04
0.04",,41,19.18638889,82.79611111,Orissa
70,"31-64
31- 64","Bt2
Bt2","573
57.3",118 8..55,"24.2
24.2",ssccl i,3322,66..99 |,"0. 00 .05
5",,41,19.18638889,82.79611111,Orissa
71,"64-70 |
64 - 70","Cr
Cr","weathered gravels ____
weathered fUavels",,,,,,,,41,19.18638889,82.79611111,Orissa
72,"Depth |
Depth
(em)
(em)","Hori-|
Hori-
zzo on n )","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm)
O.002mm)
_((%%) )","| Clay |
Clay
(<0.002
«0.002
mm)
mm)
_((%%) )","Texture |
Texture
-","Coarse
Coarse
Cfr ra ag g. . |
vol.
vol.
((%%) )","| ppH H |
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
73,"0-15
0- 15","Ap
Ap",2244.1. 1,"26.4
26.4","49.2
49.2",cc,--,55..88,"0.57
0.57","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
74,11 55 = ..4 : 42 2 |,"BBw wgl
g l","18.5
18.5","45.2
45.2","36.3
36.3",ssiiccll,--,"6.5
6.5","00..6 61
1","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
75,"4 422 - -7 4 |
7 4","B Bw wg g2
2","20.2
20.2","23.7
23.7",556 6.1. 1,cc,--,66..77,"0.63
0.63","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
76,77 44 — -1 0 17 0 7 |,"BBw wg g3
3",118 8..55,222 2.0.0,"59.5
59.5",cc,--,66..99,"0.68
0.68","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
77,110 07 7 -— 115 50 0,"| Bwg4
Bw_g_4",110 0..66,"15.5
15.5","73.9
73.9",cc,--,88..00,"0.72
0.72","19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
78,"0-12
0 - J2","Ap
Ap","40.0
40.0","32.3
32.3","27.7
27.7",ccll,--,"5.0
5.0","0.10
0.10","19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
79,"12 —39
12 - 39","Btl
Btl","35.5
35.5","30.9
30.9","33.6
33.6",ccll,--,"5.7
5.7","0.10
0.10","19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
80,3 39 9 -— 7 76 6,BBt2a,"48.0
48.0","12.3
12.3","39.7
39.7","sc
sc",--,"6.0
6.0","0.10
0.10","19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
81,"76
76 -— 112 25 5","Bt3
Bt3","40.1
40.1","16.3
16.3","43.6
43.6",cc,-~,"6.2
6.2","0.10
0.10","19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
82,11 22 55 - - 16 14 6 4 |,"BBt t4
4","38.5
38.5","11.3
11.3","50.2
50.2",cc,--,"6.2
6.2","0.10
0.10","19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
83,"Depth
Depth
(cm)
(cm)","Hori-|
Hori-
zzo on n |","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
(%)
J%)_","SSiillt t
(0.05-
(0.05-
0.002mm)
0.002mm)
(%)
(%)_","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
{_%)",TTe ex xt tu ure re |,"CCo oa ars rse
e
ff rra ag g. . |
vol.
vol.
((%%) )","pH
| pH
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,47,20.28555556,85.17111111,Orissa
84,"0-14
0 - 14","Ap
Ap","53.0
53.0","17.9
17.9","29.1
29.1",ssccli,-=,"5.5
5.5","0.2
0.2",,47,20.28555556,85.17111111,Orissa
85,"14-55
14 - 55","Bwl
Bwl","38.6
38.6",226 6.1. 1,"35.3
35.3",ccll,22,55..88,00..22,,47,20.28555556,85.17111111,Orissa
86,"55-105 |
55 - 105","Bw2
Bw2","30.3
30.3","26.5
26.5","43.2
43.2",cc,77,55..88,00..22,,47,20.28555556,85.17111111,Orissa
87,"105-145
105 - 145",| B Bw w3 3,"47.1
47.1","13.1
13.1","39.8
39.8",sscc,]1 ] ],66..1 1,"0.2
0.2",,47,20.28555556,85.17111111,Orissa
88,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(O.OS-
0.002mm)
0.002mm)
((%“%))","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%“%))","TTe ex xt tu ure re |
-","CCo oa ars rse e |
ffr ra ag g. . |
vol.
vol.
)
J%)","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
89,"0-14
0 - 14","A
A","79.7
79.7",)1 11..22,99.1. 1,lIss,-=,"5.8
5.8","0.1
0.1","19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
90,"14-31
14 - 31","Btl
Btl","70.4
70.4","11.6
11.6","18.2
18.2",ssll,-~,"5.8
5.8","0.1
0.1","19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
91,"31-50
31 - 50","Bt2
Bt2","57.0
57.0",88..44,"34.6
34.6",ssccl i,33,"6.0
6.0","0.1
0.1","19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
92,550 0 -— 660 0,"Bt3
8t3","52.4
52.4","11.6
11.6","36.0
36.0","sc
sc","16
16","6.1
6.1","0.1
0.1","19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
93,"60+
60+",CCrr,"weathered parent material
weathered parent material",,,,,,,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
94,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zzo on o |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%))_","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)",T Te ex xtu ture re |,"CCo oar as re e |
ffr ra ag g. . |
vvool.l . |
(%)
(%)","ppH
H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
_(dS/m)","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
95,"0-14
0-14","A
A","55:5
55.5","13.8
13.8","30.7
30.7","scl
sci",-~,"6.1
6.1","0.07
0.07","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
96,"14—3]
14 - 31","Btl
Btl","42.7
42.7","14.3
14.3","43.0
43.0",cc,-~,"2
6.2","0.09
0.09","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
97,"-31-55
· 31 - 55","Bt2
8t2","40.5
40.5","16.7
16.7","42.8
42.8",cc,--,"6.3
6.3","0.05
0.05","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
98,"55-90
55 - 90","Bt3
Bt3","43.1
43.1","16.3
16.3","40.6
40.6",cc,--,"6.4
6.4","0.05
0.05","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
99,"90-150
90 - 150 |","BBt t4
4","40.6
40.6","15.3
t 5.3","44.1
44.1",cc,--,"6.3
6.3","0.06
0.06","19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
100,"Depth |
Depth
(cm)
(em)","Hori-
Hori-
zon |
zon","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiUlt t
(0.05-
(0.05-
0.002mm)|
O.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mmunni)i)
((%%) )","Texture
Texture","| CCo oa ars rse e
ff rra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
((ddSS//mm) )",,53,19.66666667,84.33916667,Orissa
101,"0-13
0 - 13","A
A","66.9
66.9","14.4
J4.4","18.7
18.7",ss]l,--,"5.3
5.3","0.08
0.08",,53,19.66666667,84.33916667,Orissa
102,1133 -— 2 28 8,BBtlt l,550 0..00,"23.5
23.5",2266..55,ssccli,--,55..66,"0.08
0.08",,53,19.66666667,84.33916667,Orissa
103,228 8 -— 660 0,"Bt2
Bt2","50.5
50.5","19.1
19.1","30.4
30.4",ssccli,-~,"5.8
5.8","0.04
0.04",,53,19.66666667,84.33916667,Orissa
104,660 0 -— 9900,"Bt3
Bt3",5500.1. 1,1188..22,"31.7
31.7",ssccl i,44,"5.8
5.8","0.03
0.03",,53,19.66666667,84.33916667,Orissa
105,"90-127
90 - 127 |","BBt t4
4","55.6
55.6","17.3
17.3","27.1
27.1",ssccli,F7i,55..88,"0.03
0.03",,53,19.66666667,84.33916667,Orissa
106,"Depth |
Depth
(cm)
(em)","HHo ori r-
i -
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
| (<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e |
ffr ra ag g. . |
vvool.l . |
((%4) )","ppH
H
1:2.5
1:2.5
water
water","EC
EC
| 1:2.5
1:2.5
| wwa ate ter r
((ddSS//mm) )","18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
107,"0-9
0 - 9","A
A",6644..44,2200..77,1144..99,"sl
51",44..00,55..44,00..1100,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
108,"9-41
9- 41","Btl
Btl","60.3
60.3","21.1
21. I","18.6
18.6","sl
51","12.0
12.0","5.8
5.8","0.08
0.08","18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
109,"4 41 -— 883
1 3","Bt2
Bt2","58.2
58.2","19,3
19.3","22.5
22.5",ssccli,"18.0
18.0","6.0
6.0","0.09
0.09","18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
110,88 33 - -1 0 12 0 2 |,"BBt t3
3",557 7.1. 1,"18.1
18.1","24.8
24.8",sscclI,"25.0
25.0","6.3
6.3","0.05
0.05","18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
111,"102-105
102 - 105",| CCr r,"weathered material
weathered material",,,,,,,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
112,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%“) )","SSiiltl t
(0.05-
(0.05-
0.002mm)|
O.OO2mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%“) )","Texture
Texture","Coarse
Coarse
ff rra ag g. . |
vvool.l . |
((%“) )","| ppH H
11: :2 2. .5 5 |
wwa ate ter
r","EC
EC
11: :2 2. .5
5
| wwa ate ter r
((ddSS//mm) )","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
113,"0-15
0 - 15","Ap
Ap","64.1
64.1",1177..55,"18.4
18.4",sscclI,-~,"5.1
5.1","0.08
0.08","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
114,115 5 -— 336 6,"Btl
Btl","53.2
53.2","17.2
17.2","29.6
29.6",ssccli,--,"5.3
5.3","0.08
0.08","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
115,336 6 -— 770 0,BBtt22,"49.4
49.4",119 9..66,"31.0
31.0",ssccli,--,"53
5.5","0.07
0.07","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
116,770 0 -— 995 5,"Bt3
Bt3","46.3
46.3","21.0
21.0","32.7
32.7",ssccli,--,"5.7
5.7","0.05
0.05","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
117,"99 55 - -1 5 10 |
5 0","BBt t4
4","46.1
46.1","20.6
20.6","33.3
33.3",ssccli,--,"5.7
5.7","0.04
0.04","19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
118,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
(4)
(%)","SSiiltl t
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ff rra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
wwa ate ter
r","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
119,"0-15
0 - 15","Ap
Ap","36.1
36.1","28.5
28.5","35.4
35.4",ccll,--,55..33,"0.14
0.14","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
120,"15-31 |
15 - 31","BBw wgl
g l","34.5
34.5","27.3
27.3","38.2
38.2",ccll,--,55..88,"0.16
0.16","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
121,"31-56 |
31 - 56","Bwg2
Bwg2","29.4
29.4","29.1
29.1","41.5
41.5",cc,--,"6.1
6.1","0.10
0.10","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
122,"55 66 - -8 0 |
8 0","B Bw wg g3
3","27.0
27.0","28.9
28.9","44.]
44.1",cc,-~,"6.3
6.3","0.08
0.08","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
123,"80-120
80 - 120",| BBw wg g4 4,"24.1
24.1","29.2
29.2","46.7
46.7",cc,-~,66..55,"0.05
0.05","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
124,"120-150
120 - 150",| B Bw wg gs 5,"20.5
20.5","35
31.3","48.2
48.2",cc,--,66..66,"0.05
0.05","19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
125,"0-13
0 - 13","Ap
Ap","55.5
55.5","13.9
13.9","30.6
30.6","scl
sci",-~,"5.6
5.6","0.16
0.16",,61,19.0875,85.09277778,Orissa
126,"13-30 |
13 - 30","Al2
AI2","55.0
55.0","15.4
15.4","29.6
29.6","scl
sci",-~,"6.5
6.5","0.12
0.12",,61,19.0875,85.09277778,Orissa
127,330 0 -— 557 7,"Cl
CI","77.6
77.6","7.3
7.3","15.1
15.1",ssll,-~,"7.3
7.3","0.11
0.11",,61,19.0875,85.09277778,Orissa
128,"57-91
57 - 91","C2
C2","82.2
82.2","10.6
10.6","Fer
7.2",Ilss,--,"7.5
7.5","0.11
0.11",,61,19.0875,85.09277778,Orissa
129,"91-132 |
91 - 132","C3
C3","81.5
81.5","9.3
9.3","9.2
9.2",IIss,--,"7.7
7.7","0.08
0.08",,61,19.0875,85.09277778,Orissa
130,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zon
zoo","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
_((%%) )","SSiillt t
((00..0055--
0.002mm)|
0.OO2mm)
((%%) }","Clay
Clay
(<0.002
«0.002
mm)
mm)
_((%%) )",TTe ex xt tu ure re |,"Coarse
Coarse
frag.
frag.
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)","19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
131,"0-14
0- 14",AA,7700..00,1122..44,1177..66,"s]
51","34
34",55..55,00..11,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
132,]1 44 - -2 29 9 |,"AAl l2
2","56.6
56.6","22.2
22.2","21.2
21.2",ssccli,"47
47","5.9
5.9","0.1
0.1","19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
133,229 9-- 5566,"AC
AC",6633..11,1188..44,"18.5
18.5",ssll,"73
73",55..99,"0.1
0.1","19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
134,"56+
56+","Cr
Cr","weathered parent material
weathered parent material",,,,,,,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
135,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zon
zon","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
(%)
(%)","SSiiltl t
(0.05-
(0.05-
0.002mm)
0.OO2mm)
(%)
(%)","Clay
Clay
(-<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","| CCo oa ars rse e |
frag.
frag.
vvool.l .
(%)
(%)","ppH
H
1:2.5
1:2.5
water
water","EC
EC
| 14: :2 2. .5 5
water
water
|
(dS/m)
(dS/m)",,65,18.7125,82.35833333,Orissa
136,"0-17
0 - 17","A
A","53,1
55.1","18.4
J 8.4","26.5
26.5",ssccli,-=,"6.2
6.2","0.15
0.15",,65,18.7125,82.35833333,Orissa
137,"17-40
17 - 40","Btl
Btl","53.6
53.6","14.8
14.8","31.6
31.6",ssccli,--,"6.5
6.5","0.10
0.10",,65,18.7125,82.35833333,Orissa
138,4 400 - -6 8 68 |,"Bt2
Bt2","52.5
52.5","13.4
13.4","34.1
34.1",sscc]i,--,"6.2
6.2","0.07
0.07",,65,18.7125,82.35833333,Orissa
139,668 8 -— 998 8,"Bt3
Bt3","47.5
47.5","14.3
14.3","38.2
38.2",sscc,"17
17",55..66,"0.06
0.06",,65,18.7125,82.35833333,Orissa
140,"99 88 ~ -1 2 15 |
2 5","BBt t4
4","45.8
45.8","15.6
15.6","38.6
38.6",sscc,"20
20",55..88,"0.05
0.05",,65,18.7125,82.35833333,Orissa
141,"Depth |
Depth
(cm)
(em)","Hori-
Hori-
zon |
zoo","Sand
Sand
(2.0-0.05
(2.0-0.05
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oar as re e
ffr ra ag g. . |
vvo ol. l . |
((%‘%))","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",,67,18.7125,82.35833333,Orissa
142,"0-21
0- 21","A
A","45.3
45.3","27.2
27.2",»2 27) .B5e],ccll,1100,55..44,"0.15
0.15",,67,18.7125,82.35833333,Orissa
143,"21-49
21 - 49","Btl
Btl",4At1 .44,"23.0
23.0","35.6
35.6",ccll,"15
15","5.6
5.6","0.15
0.15",,67,18.7125,82.35833333,Orissa
144,449 9 -— 994 4,"Bt2
Bt2","39.0
39.0","23.4
23.4","37.6
37.6",ccll,"15
15","5.8
5.8","0.20
0.20",,67,18.7125,82.35833333,Orissa
145,"94-140
94 - 140 |","BBt t3
3","39.5
39.5","21.2
21.2","35.3
35.3",ccll,"20
20","6.0
6.0","0.20
0.20",,67,18.7125,82.35833333,Orissa
146,11 44 00 - -1 7 15 7 5 |,"BBt t4
4","38.6
38.6","22.3
22.3","39.1
39.1",ccll,"25
25","66. .0
0","0.20
0.20",,67,18.7125,82.35833333,Orissa
147,"Depth
| Depth
(em)
(em)","Hori-|
| Hori-
| zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","Silt
Silt
(0.05- |
(0.05-
0.002mm)
O.002mm)
((%%) )","Clay |
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture
-
-","Coarse|
| Coarse
ff rra ag g. . |
vol.
vol.
(%)_
(OA.)","pH |
pH
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m
(dS/m)","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
148,"O-18
|; 0 - 18","Ap
Ap","33.0
33.0","37.7
37.7","29.3
29.3",ccll,--,"6.0
6.0","0.59
0.59","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
149,| 11 88 - - 4 42 2 |,"BBtl
t l","27.0
27.0","31.3
31.3","41.7
41.7",cc,--,"6.0 |
6.0","0.47
0.47","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
150,"| 42-68
42 - 68","Bt2
| Bt2","26.8
26.8","30.0
30.0","45.2
45.2",cc,"--
. |","61 |
6.1","0.38
0.38","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
151,668 8 -— 9966,"Bt3
St3","43.1
43.1","22.8
22.8","34.1
34.1",ccll,-~,"6.1
6.1","0.35
0.35","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
152,"96-124 |
96 - 124","Bt4
Bt4","45.3
45.3","23.1
23.1","31.6
31.6",ccll,-=,"6.2
6.2","0.27
0,27","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
153,"124-152
124 - 152 |",} BBt t5 5,"22.2
22.2","32.0
32.0","45.8
45.8",cc,--,"6.0
6.0","0.21
0.21","18°22'20"" N and 81°54'45' ",69,18.37222222,81.9125,Orissa
154,"Depth |
Depth
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","Silt
Silt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| Coarse |
Coarse
ff rra ag g. . |
vol. |
vol.
((%%) )","ppH
H
11: :2 2. .5 5 |
water
water","EC
EC
11: :2 2. .5
5
| wwa ate ter r
(dS/m)
(dS/m)",,71,18.19583333,81.5625,Orissa
155,"0-12
0 - 12","A
A","45.0
45.0","27.4
27.4","27.6
27.6",ccll,"20
20",55..99,"0.10
0.10",,71,18.19583333,81.5625,Orissa
156,"12-28 |
12 - 28","Bwl
Bwl","41.6
41.6","33.0
33.0","25.4
25.4",I|,"35
35","6.0
6.0","0.12
0.12",,71,18.19583333,81.5625,Orissa
157,"28-52 |
28 - 52","Bw2
Bw2","41.3
41.3","33.4
33.4","25.3
25.3",II,"40
40","5.9
5.9","0.15
0.15",,71,18.19583333,81.5625,Orissa
158,"52-94 |
52 - 94","Bw3
Bw3","40.2
40.2","33.6
33.6","26.2
26.2",I|,"45
45","5.7
5.7","0.18
0.18",,71,18.19583333,81.5625,Orissa
159,"94—110
|
94 - 110","BBw w4
4","40.1
40.1","32.4
32.4","27.5
27.5",ccll,"48
48","5.4
5.4","0.15
0.15",,71,18.19583333,81.5625,Orissa
160,"110+
110+","Cr
Cr","weathered parent material
weathered parent material",,,,,,,,71,18.19583333,81.5625,Orissa
161,"0-20
0 - 20","Ap
Ap","56.0
56.0","73
17.3","26.7
26.7","scl
scl",55,"Si2
5.2","0.65
0.65","18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
162,2 20 0 -- 442 2,"Btl
Btl","30.7
30.7","26.9
26.9","42.4
42.4",cc,"25
25","53
5.3","0.55
0.55","18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
163,"42 —70
42 - 70","Bt2
Bt2","30.4
30.4","26.5
26.5","43.1
43.1",cc,"30
30","5.4
5.4","0.41
0.41","18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
164,"70-110
70 - 110","Bt3
Bt3","29.1
29.1","26.3
26.3","44.6
44.6",cc,"37
37","5.6
5.6","0.32
0.32","18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
165,"110+
110+","Cr
Cr","weathered parent material
weathered parent material",,,,,,,"18° 48'15"" N and 82° 34' ",73,18.80416667,82.56666667,Orissa
