,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
0,0-14 0 - 14,A,68.3,15.1,16.6,ssl l,-7,6.4,0.05,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
1,14-32 14 -32,BBtlt l,48.6,24.1,273 27.3,ssccli,--,66..33,0.05,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
2,332 2 -— 4 49 9,Bt2,36.5,29.6,33.9,ccll,-7,6.2,0.05,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
3,449 9 -— 773 3,Bt3,48.9,18.5,32.6,ssccli,--,6.2,0.05,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
4,773 3 -— 8866,Bt4,45.4,22.1,32.5,ccll,--,6.2,0.05,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
5,86+,Cr,weathered parent materials. Ulpathered parent materials,,,,,,,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
6,DDe ep pth th | (cm) (em),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (%),SSilitl t (0.05- 0.002mm) (%),Clay (<0.002 «0.002 mm) (%),Texture,| CCo oa ars rse e | ffrraagg. . | vvool.l . (%),ppH H 11::22..55 water,EC | 11::22..55 | wwa ate ter r (dS/m),"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
7,0-14 0 - 14,A,68,9.6,22.4,ssccli,-=,5.5,0.13,"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
8,114 4 -— 228 8,Btl,63.5,8.4,28.1,ssccli,--,5.9,0.09,"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
9,28 — 59 28 - 59,Bt2,50.2,114 4.1. 1,35.7,sscc,--,6,0.07,"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
10,59 — 95 59 - 95,Bt3,58,5.8,36.2,sscc,--,6.2,0.05,"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
11,95-150 95 - 150 |,BBt t4 4,60,5.9,34.1,ssccli,--,6.4,0.03,"19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
12,0-15 0- 15,Ap,62,23.3,1144..77,ssll,--,5.8,0.18,"19° 41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
13,15-31 IS - 31,BBtlt l,42.7,23.8,33.5,cclI,-~,6,0.14,"19° 41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
14,331 1—- 6600,Bt2,34.5,28.7,36.8,ccll,--,66..00 |,0. 01 .1 1 1,"19° 41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
15,660 0 -— 998 8,Bt3,32.1,23.6,44.3,cc,--,6.1,0.07,"19° 41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
16,98-150 98 - 150 |,BBt t4 4,24.8,25.3,49.9,cc,--,6.3,0.04,"19° 41 '10""N and 84°21'30"" ",23,19.68611111,84.35833333,Orissa
17,Depth | Depth (em),Hori- zon,Sand (2.0-0.05 mm) ((%%) ),SSiiltl t (0.05- 0.002mm)| O.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%*) ),TTe ex xt tu ure re |,CCo oa ars rse e | ppH H ff rra ag g. . 11: :2 2. .5 5 | vvool.l . | wwa ate ter r ((%a) ),,EC 11: :2 2. .5 5 water | water (dS/m)_ (dS/m),"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
18,0-14 0 - ]4,A,60,11.5,28.5,sc] scI,--,6.6,0.16,"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
19,11 44 - - 4 40 0 |,B Bw wi l,50,18.8,31.2,scl sci,-~,6.7,0.07,"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
20,440 0 -— 660 0,Bw2,54.5,14.4,31.1,scl scI,--,7,0.05,"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
21,60-90 | 60 - 90,Bw3,52,16,32,sc] scI,-~,7.5,0.05,"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
22,90-125 90 - 125,| BBw w4 4,58.1,12.6,29.3,ssccli,-,7.8,0.06,"19°50'20"" Nand 84°49'20"" ",25,19.83888889,84.82222222,Orissa
23,Depth | Depth (cm),Hori- zzo on o |,Sand (( 22. .00- -0 0. .0 05 5 mm) A) (%),Silt SUt (0.05- 0.002mm); 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e frag. vvool.l . | ((%%) ),"pH | pH | 11: :2 2. .5 5 wwat ae tr e, r",EC | 11: :2 2. .5 5 water (dS/m),"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
24,0-14 0 - 14,Ap,20,41.9,38.1,ccll,--,44. .9 9,0.1) 0.11,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
25,14-35 | 14 - 35,Bwegl Bwgl,24.2,34.5,41.3,cc,--,6.3,0.07,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
26,33 55 - -5 5 | 5 5,BBw wg g2 2,2288..44,3344..22,3377..44,ccll,--,6.3,00..0077,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
27,55-69 | 55 - 69,BBw wg g3 3,20.7,35.1,44.2,cc,--,66..55,0.08,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
28,66 99 - -9 5 9 5 |,BBw wg g4 4,24.3,33.2,42.5,c¢,-,66..66,0.05,"19°49'30"" N a'1d 83°44' 13"" E ",27,19.825,83.73694444,Orissa
29,DDe ep pth th | (cm) (ern),Hori- Hor;- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) rnm) (%),SSiillt t (0.05- 0.002mm)} 0.OO2mm) (A) (%),Clay (<0.002 «0.002 mm) (%),TTe ex xtu ture r e |,CCo oar as re e frag. vvool.l . | (%),| ppH H | 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
30,0-7 0 - 7,Ap,10.1,47.6,42.3,sic,-~,6.4,0.23,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
31,7-19 | 7 - 19,Bwgl,11.4,44.5,"44,1 44.1",sic,--,6.8,0.16,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
32,11 99 - -5 1 | 5 1,Bwg2,24.7,26.1,49.2,cc,--,A 57 .1,0.18,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
33,51-72 | 51 - 72,Bwg3,28.1,17.8,54.1,cc,-,7.3,0.12,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
34,77 22 - -1 0 10 | 0 0,Bwg4,27.5,18.9,53.6,cc,--,6.9,0.11,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
35,11 00 00 - — 115 55 5 _|,BBw wg gS 5,25.9,1199..33,54.8,cc,--,7.2,0.11,"19°19'42""N and 83° 30'45' E ",29,19.32833333,83.5125,Orissa
36,DDe ep pth th | (cm),Hori- Bori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (%),SSiiltl t (0.05- 0.002mm)| O.OOlmm) (%),Clay (<0.002 «0.002 mm) (%),Texture Texture |,Coarse ffr ra ag g. . | vol. | vol. (%),| ppH H 11: :2 2. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
37,0-10,Ap,40,3377..77,"«2.3 ... ""'.3",II,--,55..77,0.22,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
38,11 00 - -3 30 0 |,BBw wi l,40.8,28.3,30.9,sscclI,-,6.4,0.14,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
39,330 0— -5 0 5 0 |,BBw w2 2,42.3,1199..33,38.4,sc,-~,6.8,0.17,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
40,50-70 50-70 |,B Bw w3 3,44.8,99..33,45.9,sscc,--,Te 7.2,0.13,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
41,70-86 | 70 - 86,BBw w4 4,40.3,23.5,36.2,ccll,55,7.5,0.12,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
42,86-146 86 - 146,| BBw ws 5,39.8,25.8 25-.8,34.3,ccll,88,7.5,0.1,"20·16' 0' Nand 84· 58'45"" ",31,20.26666667,84.97916667,Orissa
43,DDe ep pth th | (em) (cm),Hori- zon,Sand (2.0-0.05 mm) {(“%%)J,SSiiltl t (0.05- 0.002mm)/ 0.OO2mm) ((_%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re |,CCo oa ars rse e | ffr ra ag g. . | vol. | vol. ((%%) ),ppH H 11: :2 2. .5 5 water,EC | 1£: :2 2. .5 5 water | water dS/m) (dS/m),20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
44,0-8 0 - 8,A,58.4,17.1 J7 . I,24.5,sc] sci,-~,6.3,0.08,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
45,88 -— 228 8,Btl,40.5,29.3,30.2,cclI,33,6.6,0.08,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
46,2 28 8 -— 4 48 8,Bt2,37.2,29.1,33.7,ccll,17,6.8,0.04,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
47,48 — 76 48 - 76,Bt3,36.3,27.4,36.3,ccll,28,7.1,0.05,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
48,776 6 -— 880 0,weathered parent material,,,,,,,,20·14'45' Nand 84°13' E ,33,20.24583333,84.21666667,Orissa
49,Depth (cm),Hori- Horl- zzo on n |,| SSa an nd d (( 22. .00- -0 0. .0 05 5 mim) mm) ((%%) ),"SSiiltl t (0.05- 0.002mm),; 0.002mm) ((%%) )",Clay (<0.002 «0.002 mm) ((%%) ),Texture,Coarse | Coarse ff rra ag g. . | vvool.l . | ((0%/)0 ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
50,0-14 0 - 14,Ap,76.6,99..55,13.9,5sl 1,-~,55..44,0.17,"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
51,1144 -— 3333,Btl,58.5 5S.5,16.8 16.S,24.7,ssccl i,-~,55..77,0.13,"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
52,3333 -— 554 4,Bt2,42.4,227 7.4.4,30.2,ccll,-~,55..99,0.06,"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
53,5544 -— 110 00 0,8Btt3 3,50,113 3. .66,36.4,sscc,-~,66..1 1,0.04,"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
54,11 000 0~ -— 1 17 70 | 0,BBt t4 4,48.5 4S.5,99..33,42.2,sscc,-~,66..22,0.04,"19°50'45 Nand 84°48' 15""E ",35,19.84583333,84.80416667,Orissa
55,0-16 0- 16,A,63.1,1144..88,22.1,ssccli,--,55. .5 5,0.09,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
56,116 6 -— 3 35 5,Bwl,60.7,14.3,25,ssccli,IllI,52 5.2,0.03,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
57,335 5— -7 72 2,Bw2,6677..66,1111..11,21.3,sscclI,1166,55..33,0.06,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
58,772 2 -— 110 06 6,BC,72.4,99..99,1177..77,ssll,73,55 5.5,0.06,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
59,106+,Cr,weathered gravels,,,,,,,19·52'41 'N and 84·41'42' ,37,19.87805556,84.695,Orissa
60,Depth | Depth (cm) (em),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiiltl t (0.05- 0.002mm);| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | f fr ra ag g. . § vol. | vol. ((%%) ),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,39,19.89722222,84.84166667,Orissa
61,0-9 0 - 9,A,7700..00,1133..77,16.3,ssll,--,55..66,0.09,,39,19.89722222,84.84166667,Orissa
62,20-Sep,Btl,4400..88,38.9,20.3,I],10,5.8,0.09,,39,19.89722222,84.84166667,Orissa
63,220 0-— 4433,Bt2,4488..22,2211..11,30.7,ccll,14,66..11,0.07,,39,19.89722222,84.84166667,Orissa
64,4 433 - -7 0 70 |,BBt t3 3,4466..33,"1199,.22","34,5 34.5",ccll,23,66..11,0.06,,39,19.89722222,84.84166667,Orissa
65,7700 —- 9933,BC,58.4,14.2,27.4,ssccl i,66,6.3,0.06,,39,19.89722222,84.84166667,Orissa
66,93+,Cr,weathered gravels,,,,,,,,39,19.89722222,84.84166667,Orissa
67,DDe ep pth th | (cm),Hori- Horl- zzo on n |,Sand (( 22. .00- .0 0. .0 05 5 mm) ((%2) ),SSiilltt ((00..0055- - 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),TTe ex xt tu ure re |,CCo oar as re s| e ffrraagg. . | vvool.l . ((%“) ),pH pH | 11::22..55 | water,EC 11::22..55 | wwa ate ter r (dS/m),,41,19.18638889,82.79611111,Orissa
68,0-6 0 - 6,A,68.4,1144..44,117 7..22,ssll,--,66..44,00..0 07 7,,41,19.18638889,82.79611111,Orissa
69,6-31 6 - 31,Btl,56.6,21.8,21.6,sscclI,1177,66..77,0.04,,41,19.18638889,82.79611111,Orissa
70,31-64 31- 64,Bt2,573 57.3,118 8..55,24.2,ssccl i,3322,66..99 |,0. 00 .05 5,,41,19.18638889,82.79611111,Orissa
71,64-70 | 64 - 70,Cr,weathered gravels ____ weathered fUavels,,,,,,,,41,19.18638889,82.79611111,Orissa
72,Depth | Depth (em),Hori-| Hori- zzo on n ),Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),Silt (0.05- 0.002mm) O.002mm) _((%%) ),| Clay | Clay (<0.002 «0.002 mm) _((%%) ),Texture | Texture -,Coarse Cfr ra ag g. . | vol. ((%%) ),| ppH H | 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
73,0-15 0- 15,Ap,2244.1. 1,26.4,49.2,cc,--,55..88,0.57,"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
74,11 55 = ..4 : 42 2 |,BBw wgl g l,18.5,45.2,36.3,ssiiccll,--,6.5,00..6 61 1,"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
75,4 422 - -7 4 | 7 4,B Bw wg g2 2,20.2,23.7,556 6.1. 1,cc,--,66..77,0.63,"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
76,77 44 — -1 0 17 0 7 |,BBw wg g3 3,118 8..55,222 2.0.0,59.5,cc,--,66..99,0.68,"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
77,110 07 7 -— 115 50 0,| Bwg4 Bw_g_4,110 0..66,15.5,73.9,cc,--,88..00,0.72,"19°50'27"" Nand 84·48'32"" E ",43,19.84083333,84.80888889,Orissa
78,0-12 0 - J2,Ap,40,32.3,27.7,ccll,--,5,0.1,"19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
79,12 —39 12 - 39,Btl,35.5,30.9,33.6,ccll,--,5.7,0.1,"19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
80,3 39 9 -— 7 76 6,BBt2a,48,12.3,39.7,sc,--,6,0.1,"19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
81,76 76 -— 112 25 5,Bt3,40.1,16.3,43.6,cc,-~,6.2,0.1,"19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
82,11 22 55 - - 16 14 6 4 |,BBt t4 4,38.5,11.3,50.2,cc,--,6.2,0.1,"19°49'50"" N and 83°28'45' E ",45,19.83055556,83.47916667,Orissa
83,Depth (cm),Hori-| Hori- zzo on n |,Sand (2.0-0.05 mm) (%) J%)_,SSiillt t (0.05- 0.002mm) (%) (%)_,Clay (<0.002 «0.002 mm) (%) {_%),TTe ex xt tu ure re |,CCo oa ars rse e ff rra ag g. . | vol. ((%%) ),pH | pH 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),,47,20.28555556,85.17111111,Orissa
84,0-14 0 - 14,Ap,53,17.9,29.1,ssccli,-=,5.5,0.2,,47,20.28555556,85.17111111,Orissa
85,14-55 14 - 55,Bwl,38.6,226 6.1. 1,35.3,ccll,22,55..88,00..22,,47,20.28555556,85.17111111,Orissa
86,55-105 | 55 - 105,Bw2,30.3,26.5,43.2,cc,77,55..88,00..22,,47,20.28555556,85.17111111,Orissa
87,105-145 105 - 145,| B Bw w3 3,47.1,13.1,39.8,sscc,]1 ] ],66..1 1,0.2,,47,20.28555556,85.17111111,Orissa
88,DDe ep pth th | (cm),Hori- zon,Sand (2.0-0.05 mm) ((%%) ),SSiiltl t (0.05- (O.OS- 0.002mm) ((%“%)),Clay (<0.002 «0.002 mm) ((%“%)),TTe ex xt tu ure re | -,CCo oa ars rse e | ffr ra ag g. . | vol. ) J%),ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
89,0-14 0 - 14,A,79.7,)1 11..22,99.1. 1,lIss,-=,5.8,0.1,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
90,14-31 14 - 31,Btl,70.4,11.6,18.2,ssll,-~,5.8,0.1,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
91,31-50 31 - 50,Bt2,57,88..44,34.6,ssccl i,33,6,0.1,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
92,550 0 -— 660 0,Bt3 8t3,52.4,11.6,36,sc,16,6.1,0.1,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
93,60+,CCrr,weathered parent material,,,,,,,"19°16'20""N and 83°24'20' E ",49,19.27222222,83.40555556,Orissa
94,DDe ep pth th | (cm) (em),Hori- zzo on o |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%))_,SSiiltl t (0.05- 0.002mm)| 0.002mm) (%),Clay (<0.002 «0.002 mm) (%),T Te ex xtu ture re |,CCo oar as re e | ffr ra ag g. . | vvool.l . | (%),ppH H 11: :2 2. .5 5 water,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m) _(dS/m),"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
95,0-14,A,55:5 55.5,13.8,30.7,scl sci,-~,6.1,0.07,"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
96,14—3] 14 - 31,Btl,42.7,14.3,43,cc,-~,2 6.2,0.09,"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
97,-31-55 · 31 - 55,Bt2 8t2,40.5,16.7,42.8,cc,--,6.3,0.05,"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
98,55-90 55 - 90,Bt3,43.1,16.3,40.6,cc,--,6.4,0.05,"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
99,90-150 90 - 150 |,BBt t4 4,40.6,15.3 t 5.3,44.1,cc,--,6.3,0.06,"19·1 '50"" Nand 84°25'30"" E ",51,19.03055556,84.425,Orissa
100,Depth | Depth (cm) (em),Hori- zon | zon,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiUlt t (0.05- 0.002mm)| O.OO2mm) ((%%) ),Clay (<0.002 «0.002 mmunni)i) ((%%) ),Texture,| CCo oa ars rse e ff rra ag g. . | vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),,53,19.66666667,84.33916667,Orissa
101,0-13 0 - 13,A,66.9,14.4 J4.4,18.7,ss]l,--,5.3,0.08,,53,19.66666667,84.33916667,Orissa
102,1133 -— 2 28 8,BBtlt l,550 0..00,23.5,2266..55,ssccli,--,55..66,0.08,,53,19.66666667,84.33916667,Orissa
103,228 8 -— 660 0,Bt2,50.5,19.1,30.4,ssccli,-~,5.8,0.04,,53,19.66666667,84.33916667,Orissa
104,660 0 -— 9900,Bt3,5500.1. 1,1188..22,31.7,ssccl i,44,5.8,0.03,,53,19.66666667,84.33916667,Orissa
105,90-127 90 - 127 |,BBt t4 4,55.6,17.3,27.1,ssccli,F7i,55..88,0.03,,53,19.66666667,84.33916667,Orissa
106,Depth | Depth (cm) (em),HHo ori r- i - zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%%) ),SSiiltl t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay | (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e | ffr ra ag g. . | vvool.l . | ((%4) ),ppH H 1:2.5 water,EC | 1:2.5 1:2.5 | wwa ate ter r ((ddSS//mm) ),"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
107,0-9 0 - 9,A,6644..44,2200..77,1144..99,sl 51,44..00,55..44,00..1100,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
108,9-41 9- 41,Btl,60.3,21.1 21. I,18.6,sl 51,12,5.8,0.08,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
109,4 41 -— 883 1 3,Bt2,58.2,"19,3 19.3",22.5,ssccli,18,6,0.09,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
110,88 33 - -1 0 12 0 2 |,BBt t3 3,557 7.1. 1,18.1,24.8,sscclI,25,6.3,0.05,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
111,102-105 102 - 105,| CCr r,weathered material,,,,,,,"18°17'6""N and 82""3'38"" E ",55,18.285,82.06055556,Orissa
112,DDe ep pth th | (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) ((%“) ),SSiiltl t (0.05- 0.002mm)| O.OO2mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%“) ),Texture,Coarse ff rra ag g. . | vvool.l . | ((%“) ),| ppH H 11: :2 2. .5 5 | wwa ate ter r,EC 11: :2 2. .5 5 | wwa ate ter r ((ddSS//mm) ),"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
113,0-15 0 - 15,Ap,64.1,1177..55,18.4,sscclI,-~,5.1,0.08,"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
114,115 5 -— 336 6,Btl,53.2,17.2,29.6,ssccli,--,5.3,0.08,"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
115,336 6 -— 770 0,BBtt22,49.4,119 9..66,31,ssccli,--,53 5.5,0.07,"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
116,770 0 -— 995 5,Bt3,46.3,21,32.7,ssccli,--,5.7,0.05,"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
117,99 55 - -1 5 10 | 5 0,BBt t4 4,46.1,20.6,33.3,ssccli,--,5.7,0.04,"19°50'27"" Nand 84·48'32"" ",57,19.84083333,84.80888889,Orissa
118,DDe ep pth th | (cm),Hori- zzo on n |,Sand (( 22. .00- -0 0. .0 05 5 mm) (4) (%),SSiiltl t (0.05- 0.002mm)| 0.002mm) ((%%) ),Clay (<0.002 «0.002 mm) ((%%) ),Texture,| CCo oa ars rse e ff rra ag g. . | vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 wwa ate ter r,EC | 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
119,0-15 0 - 15,Ap,36.1,28.5,35.4,ccll,--,55..33,0.14,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
120,15-31 | 15 - 31,BBw wgl g l,34.5,27.3,38.2,ccll,--,55..88,0.16,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
121,31-56 | 31 - 56,Bwg2,29.4,29.1,41.5,cc,--,6.1,0.1,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
122,55 66 - -8 0 | 8 0,B Bw wg g3 3,27,28.9,44.] 44.1,cc,-~,6.3,0.08,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
123,80-120 80 - 120,| BBw wg g4 4,24.1,29.2,46.7,cc,-~,66..55,0.05,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
124,120-150 120 - 150,| B Bw wg gs 5,20.5,35 31.3,48.2,cc,--,66..66,0.05,"19°19'55""N and 83°22'8"" ",59,19.33194444,83.36888889,Orissa
125,0-13 0 - 13,Ap,55.5,13.9,30.6,scl sci,-~,5.6,0.16,,61,19.0875,83.05944444,Orissa
126,13-30 | 13 - 30,Al2 AI2,55,15.4,29.6,scl sci,-~,6.5,0.12,,61,19.0875,83.05944444,Orissa
127,330 0 -— 557 7,Cl CI,77.6,7.3,15.1,ssll,-~,7.3,0.11,,61,19.0875,83.05944444,Orissa
128,57-91 57 - 91,C2,82.2,10.6,Fer 7.2,Ilss,--,7.5,0.11,,61,19.0875,83.05944444,Orissa
129,91-132 | 91 - 132,C3,81.5,9.3,9.2,IIss,--,7.7,0.08,,61,19.0875,83.05944444,Orissa
130,DDe ep pth th | (cm) (em),Hori- zon zoo,Sand (2.0-0.05 mm) _((%%) ),SSiillt t ((00..0055-- 0.002mm)| 0.OO2mm) ((%%) },Clay (<0.002 «0.002 mm) _((%%) ),TTe ex xt tu ure re |,Coarse frag. vvool.l . | ((%%) ),| ppH H 11: :2 2. .5 5 | water,EC 11: :2 2. .5 5 | wwa ate ter r (dS/m),"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
131,0-14 0- 14,AA,7700..00,1122..44,1177..66,s] 51,34,55..55,00..11,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
132,]1 44 - -2 29 9 |,AAl l2 2,56.6,22.2,21.2,ssccli,47,5.9,0.1,"19°53'0"" Nand 84°5'30"" ",63,19.88333333,84.09166667,Orissa
